x,poly4
-0.3738283369314004,-37.70912307114861
-0.3729816662151551,-39.341623439945465
-0.3721349954989099,-40.942933535452084
-0.3712883247826646,-42.51324054835072
-0.3704416540664193,-44.05273124331768
-0.36959498335017404,-45.56159195902228
-0.3687483126339288,-47.04000860812778
-0.36790164191768354,-48.48816667729068
-0.36705497120143826,-49.90625122716176
-0.36620830048519304,-51.29444689238426
-0.36536162976894776,-52.652937881596586
-0.3645149590527025,-53.9819079774295
-0.3636682883364572,-55.28154053650792
-0.3628216176202119,-56.552018489450006
-0.3619749469039667,-57.79352434086775
-0.3611282761877214,-59.00624016936672
-0.36028160547147614,-60.19034762754666
-0.3594349347552309,-61.346027941999864
-0.35858826403898564,-62.47346191331246
-0.35774159332274036,-63.57282991606485
-0.35689492260649514,-64.64431189883078
-0.35604825189024986,-65.68808738417704
-0.3552015811740046,-66.7043354686648
-0.3543549104577593,-67.69323482284858
-0.353508239741514,-68.65496369127561
-0.3526615690252688,-69.58969989248851
-0.3518148983090235,-70.49762081902179
-0.35096822759277824,-71.3789034374048
-0.350121556876533,-72.23372428815946
-0.34927488616028773,-73.06225948580231
-0.34842821544404246,-73.86468471884285
-0.34758154472779723,-74.64117524978406
-0.34673487401155195,-75.39190591512306
-0.3458882032953067,-76.11705112535026
-0.3450415325790614,-76.81678486494957
-0.3441948618628161,-77.4912806923989
-0.3433481911465709,-78.14071174016914
-0.3425015204303256,-78.76525071472594
-0.34165484971408033,-79.36506989652679
-0.3408081789978351,-79.94034114002454
-0.33996150828158983,-80.49123587366438
-0.33911483756534455,-81.01792509988582
-0.3382681668490993,-81.52057939512173
-0.33742149613285405,-81.99936890979876
-0.33657482541660877,-82.45446336833675
-0.3357281547003635,-82.88603206914962
-0.3348814839841182,-83.2942438846444
-0.334034813267873,-83.6792672612221
-0.3331881425516277,-84.04127021927758
-0.33234147183538243,-84.38042035319847
-0.3314948011191372,-84.69688483136684
-0.3306481304028919,-84.99083039615783
-0.32980145968664665,-85.26242336394057
-0.32895478897040137,-85.51182962507738
-0.3281081182541561,-85.73921464392464
-0.32726144753791087,-85.94474345883174
-0.3264147768216656,-86.12858068214217
-0.3255681061054203,-86.29089050019314
-0.3247214353891751,-86.43183667331493
-0.3238747646729298,-86.55158253583181
-0.3230280939566845,-86.65029099606153
-0.3221814232404393,-86.72812453631548
-0.321334752524194,-86.78524521289859
-0.32048808180794874,-86.82181465610932
-0.31964141109170346,-86.83799407023997
-0.3187947403754582,-86.83394423357652
-0.31794806965921296,-86.80982549839803
-0.3171013989429677,-86.76579779097773
-0.3162547282267224,-86.70202061158227
-0.3154080575104772,-86.61865303447144
-0.3145613867942319,-86.51585370789934
-0.3137147160779866,-86.39378085411346
-0.3128680453617414,-86.25259226935464
-0.3120213746454961,-86.09244532385753
-0.31117470392925084,-85.9134969618504
-0.31032803321300556,-85.71590370155496
-0.3094813624967603,-85.49982163518683
-0.30863469178051506,-85.26540642895486
-0.3077880210642698,-85.01281332306195
-0.3069413503480245,-84.74219713170402
-0.3060946796317793,-84.45371224307104
-0.305248008915534,-84.14751261934651
-0.3044013381992887,-83.82375179670743
-0.3035546674830435,-83.48258288532435
-0.30270799676679816,-83.12415856936184
-0.30186132605055294,-82.74863110697765
-0.30101465533430766,-82.35615233032286
-0.3001679846180624,-81.94687364554306
-0.29932131390181715,-81.52094603277675
-0.2984746431855719,-81.07852004615603
-0.2976279724693266,-80.61974581380701
-0.2967813017530814,-80.14477303784912
-0.2959346310368361,-79.65375099439547
-0.2950879603205908,-79.1468285335526
-0.2942412896043456,-78.6241540794212
-0.29339461888810026,-78.08587563009456
-0.29254794817185503,-77.53214075766073
-0.29170127745560975,-76.9630966082006
-0.2908546067393645,-76.37888990178882
-0.29000793602311925,-75.77966693249405
-0.28916126530687397,-75.16557356837771
-0.2883145945906287,-74.53675525149569
-0.28746792387438347,-73.89335699789703
-0.2866212531581382,-73.23552339762435
-0.2857745824418929,-72.56339861471426
-0.2849279117256477,-71.8771263871964
-0.28408124100940235,-71.17685002709445
-0.28323457029315713,-70.46271242042562
-0.28238789957691185,-69.7348560272006
-0.28154122886066657,-68.99342288142373
-0.28069455814442135,-68.23855459109294
-0.27984788742817607,-67.47039233820001
-0.2790012167119308,-66.68907687872985
-0.27815454599568556,-65.89474854266146
-0.2773078752794403,-65.08754723396709
-0.276461204563195,-64.2676124306127
-0.2756145338469498,-63.43508318455795
-0.27476786313070445,-62.59009812175597
-0.2739211924144592,-61.732795442153616
-0.27307452169821395,-60.86331291969128
-0.27222785098196867,-59.981787902302784
-0.27138118026572344,-59.08835731191601
-0.27053450954947816,-58.18315764445214
-0.2696878388332329,-57.2663249698258
-0.26884116811698766,-56.33799493194553
-0.2679944974007424,-55.39830274871338
-0.2671478266844971,-54.4473832120249
-0.2663011559682519,-53.48537068776932
-0.26545448525200654,-52.51239911582951
-0.2646078145357613,-51.52860201008198
-0.26376114381951604,-50.534112458396635
-0.26291447310327076,-49.52906312263721
-0.26206780238702554,-48.51358623866099
-0.26122113167078026,-47.48781361631882
-0.260374460954535,-46.45187663945495
-0.25952779023828976,-45.40590626590782
-0.2586811195220444,-44.35003302750866
-0.2578344488057992,-43.28438703008311
-0.256987778089554,-42.209097953449856
-0.25614110737330864,-41.12429505142137
-0.2552944366570634,-40.03010715180392
-0.25444776594081814,-38.926662656396985
-0.25360109522457286,-37.81408954099396
-0.25275442450832764,-36.69251535538166
-0.25190775379208236,-35.562067223340705
-0.2510610830758371,-34.422871842645065
-0.25021441235959185,-33.27505548506255
-0.24936774164334655,-32.1187439963544
-0.2485210709271013,-30.954062796275622
-0.24767440021085602,-29.781136878574642
-0.24682772949461076,-28.600090810993635
-0.2459810587783655,-27.411048735268338
-0.24513438806212023,-26.21413436712794
-0.24428771734587498,-25.009470996295605
-0.2434410466296297,-23.797181486487702
-0.24259437591338445,-22.577388275414407
-0.24174770519713917,-21.350213374779486
-0.24090103448089392,-20.11577837028034
-0.24005436376464864,-18.87420442160777
-0.2392076930484034,-17.62561226244658
-0.2383610223321581,-16.370122200474697
-0.23751435161591286,-15.107854117363999
-0.23666768089966758,-13.838927468779886
-0.23582101018342233,-12.563461284381233
-0.23497433946717708,-11.281574167820708
-0.2341276687509318,-9.993384296744452
