#Curve       0,   269  points
0         #x        y  type     NaN
240    229.53772    1.14317     i     NaN
241    235.02050   -0.86010     i     NaN
242    240.39583   -2.10305     i     NaN
243    245.82965   -2.16489     i     NaN
244    251.96957   -2.10526     i     NaN
245    256.69669   -2.48951     i     NaN
246    262.12844   -3.23151     i     NaN
247    267.55636   -5.22562     i     NaN
248    272.49364   -6.11876     i     NaN
249    279.16754   -4.52227     i     NaN
250    287.81888   -2.45859     i     NaN
251    293.00525   -2.66883     i     NaN
252    305.43210    2.25810     i     NaN
253    313.02614    1.85425     i     NaN
254    316.95776   -4.81134     i     NaN
255    323.86779   -6.77144     i     NaN
256    329.44251   -6.91498     i     NaN
257    334.73799   -6.06036     i     NaN
258    339.92717   -5.35547     i     NaN
259    346.35340   -3.97814     i     NaN
260    357.47347   -2.32874     i     NaN
261    359.95789    2.38327     i     NaN
262    373.62941   -3.95142     i     NaN
263    377.09708   -6.56275     i     NaN
264    380.91770   -9.14170     i     NaN
265    383.89506   -4.77733     i     NaN
266    395.50844   -3.35517     i     NaN
267    400.93754   -4.96283     i     NaN
268    405.13703   -4.80567     i     NaN
269    415.26877   -3.26586     i     NaN
